step,profile,mode,object,segment,switched,gap_ms,lateness_ms,foreground_ms,experienced_ms,background_ms,eviction_ms,rss_mb,tracked_raw_mb,missing_faults,write_faults
0,normal,raw,0,0,1,51.750,0.000,0.014,0.014,0.000,0.000,66.254,64.000,0,0
1,normal,raw,1,0,1,453.006,0.093,0.015,0.107,0.000,0.000,66.277,64.000,0,0
2,normal,raw,1,1,0,369.929,0.126,0.016,0.141,0.000,0.000,66.277,64.000,0,0
3,normal,raw,1,2,0,54.292,0.120,0.016,0.136,0.000,0.000,66.277,64.000,0,0
4,normal,raw,1,3,0,254.577,0.111,0.017,0.128,0.000,0.000,66.277,64.000,0,0
5,normal,raw,1,4,0,370.532,0.121,0.015,0.136,0.000,0.000,66.277,64.000,0,0
6,normal,raw,1,5,0,344.244,0.986,17.594,18.580,0.000,0.000,66.277,64.000,0,0
7,normal,raw,1,0,1,528.603,0.123,13.258,13.381,0.000,0.000,66.277,64.000,0,0
8,normal,raw,1,1,0,327.349,0.107,6.665,6.771,0.000,0.000,66.277,64.000,0,0
9,normal,raw,3,0,1,497.336,0.111,3.542,3.652,0.000,0.000,66.277,64.000,0,0
10,normal,raw,2,0,1,226.611,0.095,8.655,8.751,0.000,0.000,66.277,64.000,0,0
11,normal,raw,2,0,1,795.999,0.114,0.016,0.130,0.000,0.000,66.277,64.000,0,0
12,normal,raw,2,2,0,428.962,0.099,10.198,10.296,0.000,0.000,66.277,64.000,0,0
13,normal,raw,2,3,0,292.483,0.122,1.687,1.810,0.000,0.000,66.277,64.000,0,0
14,normal,raw,2,7,0,978.380,0.118,1.168,1.286,0.000,0.000,66.277,64.000,0,0
15,normal,raw,2,7,0,426.808,0.092,0.013,0.105,0.000,0.000,66.277,64.000,0,0
16,normal,raw,2,7,0,502.323,0.119,0.014,0.134,0.000,0.000,66.277,64.000,0,0
17,normal,raw,2,7,0,260.137,0.118,0.014,0.132,0.000,0.000,66.277,64.000,0,0
18,normal,raw,2,7,0,252.012,0.122,0.025,0.147,0.000,0.000,66.277,64.000,0,0
19,normal,raw,2,0,1,634.689,0.123,0.016,0.140,0.000,0.000,66.277,64.000,0,0
20,normal,raw,2,1,0,257.211,0.125,5.191,5.316,0.000,0.000,66.277,64.000,0,0
21,normal,raw,2,2,0,150.237,0.102,0.015,0.117,0.000,0.000,66.277,64.000,0,0
22,normal,raw,2,3,0,226.952,0.121,0.014,0.135,0.000,0.000,66.277,64.000,0,0
23,normal,raw,0,0,1,166.050,0.102,4.107,4.209,0.000,0.000,66.277,64.000,0,0
24,normal,raw,0,0,1,397.902,0.096,0.019,0.115,0.000,0.000,66.277,64.000,0,0
25,normal,raw,0,1,0,383.631,0.095,3.172,3.267,0.000,0.000,66.277,64.000,0,0
26,normal,raw,2,0,1,167.170,0.117,0.016,0.133,0.000,0.000,66.277,64.000,0,0
27,normal,raw,2,4,0,341.488,0.106,0.823,0.928,0.000,0.000,66.277,64.000,0,0
28,normal,raw,2,5,0,221.767,0.123,0.182,0.305,0.000,0.000,66.277,64.000,0,0
29,normal,raw,0,0,1,43.341,0.118,0.020,0.138,0.000,0.000,66.277,64.000,0,0
